A0,A2,A4,A5
36946,准予 行政,高速公路 服务区 行政 公共场所 卫生 审查 法定条件 标准 行政 行政 准予 行政,人民政府
36912,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36913,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36928,交通 行政,扬子 物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36897,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36878,车辆,道路 运输 车辆,交通 运输
36887,车间 办公楼 生产 用房 工程,车间 办公楼 生产 用房 工程,行政 审批
36889,车辆,道路 运输 车辆,交通 运输
36875,车辆,道路 运输 车辆,交通 运输
36876,车辆,道路 运输 车辆,交通 运输
36877,车辆,道路 运输 车辆,交通 运输
36890,车辆,道路 运输 车辆,交通 运输
36894,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36895,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36896,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36891,交通 行政,三木 物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36892,交通 行政,盛虹 纤维 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36893,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37176,交通 行政,扬子 巴斯夫 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37905,行政 准予 行政,道路 货物 运输,行政 审批
37906,准予 行政,危险 化学品 乙醇 甲醇 储存,应急 管理
37907,准予 行政,易制毒 化学品 甲苯 硫酸 盐酸 储存 危险 化学品 甲醇 连二 亚硫酸钠 次氯酸钠 溶液 有效氯 氢氧化钠 氢氧化钠 溶液 含量 氯化铁 亚硫酸氢钠 氯酸钠 氨基 磺酸 乙醇 乙酸 含量 乙酸乙酯 酚醛树脂 二氯甲烷 二氯乙烷 苯酚 硫酸铵 硫酸钾 硫酸钠 品种 储存,应急 管理
37900,准予,药品 零售 变更,行政 审批
37902,交通 行政,阳光 舞者 船舶 国籍 证书,交通 运输
37904,准予 行政,劳务 派遣,行政 审批
37909,建设 工程施工 许可证,装修 装修 面积,经济 技术开发区 管委会
37914,交通 行政,恒基 达鑫 国际 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37915,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37916,交通 行政,扬子 物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37910,建设 工程施工 许可证,装修 装修 面积,经济 技术开发区 管委会
37911,行政,准予 疫情 综合 工时 工作制,人力资源 社会保障
37913,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37899,准予,命名 金栖里,行政 审批
37742,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37743,交通 行政,化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37744,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37577,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37578,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37741,业户,道路 业户 经营,交通 运输
37745,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37749,交通 行政,星鑫 贸易 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37760,准予 行政,社会 团体 慈善 变更 登记 法定代表 变更,民政
37802,准予 行政,消毒 器械 消毒 器械 消毒 因子 生产,卫生 健康 委员会
37746,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37747,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37748,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38099,车辆,道路 运输 车辆,交通 运输
38100,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
38116,交通 行政,富源 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38096,车辆,道路 运输 车辆,交通 运输
38097,车辆,道路 运输 车辆,交通 运输
38098,车辆,道路 运输 车辆,交通 运输
38117,交通 行政,物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38121,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
38122,交通 行政,化工 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
38123,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
38118,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38119,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38120,交通 行政,中国石化集团 化学工业 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
38095,车辆,道路 运输 车辆,交通 运输
38081,科幻 针纺织品 办理 子公司 变更 业务 备案,科幻 针纺织品 办理 子公司 变更 业务 备案,商务
38086,危险 化学品 经营,化学品 过氧化氢 溶液 含量 氯酸钠 高锰酸钾 储存 易制毒 化学品 盐酸 硫酸 甲苯 储存 危险 化学品 氢氧化钠 溶液 含量 氢氧化钠 次氯酸钠 溶液 有效氯 磺酸 甲醛 溶液 品种 储存,应急 管理
38087,准予 行政,消毒 器械 消毒 器械 消毒 因子,卫生 健康 委员会
37917,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37918,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
38080,行政,准予 劳务 派遣 业务,人力资源 社会保障
38088,新浒 投资 发展 迪卡侬 道路 工程 项目 建议书,政府 投资 项目 建议书,行政 审批
38092,车辆,道路 运输 车辆,行政 审批
38093,车辆,道路 运输 车辆,交通 运输
38094,车辆,道路 运输 车辆,交通 运输
38089,建筑 工程施工 许可证,建筑 工程施工 许可证,行政 审批
38090,业户,道路 业户 经营,交通 运输
38091,业户,道路 业户 经营,交通 运输
37576,交通 行政,国望 高科 纤维 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37350,车辆,道路 运输 车辆,交通 运输
37351,车辆,道路 运输 车辆,交通 运输
37352,车辆,网约车,交通 运输
37347,交通 行政,戴梦特 化工 科技股份 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37348,车辆,道路 运输 车辆,交通 运输
37349,车辆,道路 运输 车辆,交通 运输
37353,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37357,交通 行政,戴梦特 化工 科技股份 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37358,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37359,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37354,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37355,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37356,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37346,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37187,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37188,交通 行政,石油 燃料 沥青 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
37189,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37177,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37184,准予,轴承 直径 轴承 项目,行政 审批
37185,交通 运输 环线 工程,航道 条件 影响 评价,交通 运输
37339,车辆,道路 运输 车辆,交通 运输
37343,车辆,道路 运输 车辆,交通 运输
37344,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37345,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37340,车辆,道路 运输 车辆,交通 运输
37341,车辆,道路 运输 车辆,交通 运输
37342,车辆,道路 运输 车辆,交通 运输
37562,交通 行政,峰人 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37563,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37564,交通 行政,恒基 达鑫 国际 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37394,应急 管理局 危险 化学品 经营 许可证 准予,危险 化学品 经营,应急 管理
37560,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37561,交通 行政,国邦 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37565,车辆,购置,交通 运输
37573,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37574,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37575,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37566,车辆,购置,交通 运输
37571,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37572,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37393,应急 管理局 危险 化学品 经营 许可证 准予,危险 化学品 经营,应急 管理
37363,车辆,购置,交通 运输
37364,车辆,购置,交通 运输
37365,车辆,购置,交通 运输
37360,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37361,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37362,车辆,更新,交通 运输
37369,禾谷 牧业 生猪 规模 养殖 项目 环境影响 报告书,生猪 规模 养殖 项目,环境
37374,建设 用地 规划 许可证,淮展 置业 小韩 幼儿园 项目,自然资源 规划
37387,龙诚 车业 自行车 配件 项目 环境影响 报告 意见,龙诚 车业 自行车 配件 项目 环境影响 报告 意见,行政 审批
37388,城市道路 设施 许可证,大儒 城市道路 设施,城市 管理
37370,建设 项目 环境影响 报告,汽车 高端 水性 生产线 智能化 建设 项目,环境
37371,准予 行政,变更,市场 监督 管理
37372,准予 行政,有效期,市场 监督 管理
36659,车辆,道路 运输 车辆,交通 运输
35773,车辆,道路 运输 车辆,交通 运输
35774,车辆,道路 运输 车辆,交通 运输
35775,业户,道路 业户 经营,交通 运输
35760,建筑 工程施工,剧院 建设 工程 室内装饰 工程 施工,城乡 建设
35763,建筑 工程施工,液压 动力机械 元件 项目 厂房 厂房 泵房 水池 桩基 钢结构 工程 施工,城乡 建设
35772,车辆,道路 运输 车辆,交通 运输
35776,车辆,道路 运输 车辆,交通 运输
35938,交通 行政,港务 集团 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35939,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35940,交通 行政,港口 股份 港务 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35933,车辆,道路 运输 车辆,交通 运输
35935,车辆,道路 运输 车辆,交通 运输
35937,车辆,道路 运输 车辆,交通 运输
35759,准予 行政 书面,旅行社,旅游
35737,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35738,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35739,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35734,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35735,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35736,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35740,交通 行政,股份 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35747,车辆,道路 运输 车辆,交通 运输
35755,车辆,道路 运输 车辆,交通 运输
35758,迎宾馆 经营 管理 工时,工时,人力资源 社会保障
35744,车辆,道路 运输 车辆,交通 运输
35745,车辆,道路 运输 车辆,交通 运输
35746,车辆,道路 运输 车辆,交通 运输
35970,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35971,车辆,道路 运输 车辆,交通 运输
35972,车辆,道路 运输 车辆,交通 运输
35967,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35968,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35969,交通 行政,燃油 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35973,车辆,道路 运输 车辆,交通 运输
35977,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35982,恒昌 建筑工程 建筑 垃圾处置,碧桂园 天宸,城市 管理
35983,交通 行政,富源 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35974,车辆,道路 运输 车辆,交通 运输
35975,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35976,交通 行政,扬子 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35966,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35944,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35945,交通 行政,中国石化集团 化学工业 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35950,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35941,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35942,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35943,交通 行政,东沃 化能 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35951,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35955,交通 行政,富源 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35956,交通 行政,燃油 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35957,交通 行政,交通 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35952,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35953,交通 行政,扬子 物流 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35954,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35733,车辆,道路 运输 车辆,交通 运输
35512,车辆,道路 运输 车辆,交通 运输
35513,业户,道路 业户 经营,交通 运输
35514,车辆,道路 运输 车辆,交通 运输
35505,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35510,车辆,道路 运输 车辆,交通 运输
35511,车辆,道路 运输 车辆,交通 运输
35515,交通 行政,石油 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35519,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35520,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35521,交通 行政,化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35516,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35517,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35518,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35504,交通 行政,物资 集团 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35494,车辆,道路 运输 车辆,交通 运输
35495,车辆,道路 运输 车辆,交通 运输
35496,车辆,道路 运输 车辆,交通 运输
35453,车辆,道路 运输 车辆,交通 运输
35454,车辆,道路 运输 车辆,交通 运输
35493,车辆,道路 运输 车辆,交通 运输
35497,车辆,道路 运输 车辆,交通 运输
35501,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35502,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35503,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35498,交通 行政,阿尔法 石油化工 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
35499,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35500,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35723,车辆,道路 运输 车辆,交通 运输
35724,业户,道路 业户 经营,交通 运输
35725,车辆,道路 运输 车辆,交通 运输
35720,交通 行政,石油 天然气 股份 销售 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35721,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35722,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35726,车辆,道路 运输 车辆,交通 运输
35730,车辆,道路 运输 车辆,交通 运输
35731,车辆,道路 运输 车辆,交通 运输
35732,车辆,道路 运输 车辆,交通 运输
35727,车辆,道路 运输 车辆,交通 运输
35728,业户,道路 业户 经营,交通 运输
35729,业户,道路 业户 经营,交通 运输
35719,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35528,车辆,道路 运输 车辆,交通 运输
35529,车辆,道路 运输 车辆,交通 运输
35711,业户,道路 业户 经营,交通 运输
35523,车辆,道路 运输 车辆,交通 运输
35524,车辆,道路 运输 车辆,交通 运输
35527,车辆,道路 运输 车辆,交通 运输
35712,交通 行政,化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35716,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35717,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35718,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35713,交通 行政,阳鸿 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35714,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35715,交通 行政,宏川 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35984,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36410,车辆,道路 运输 车辆,交通 运输
36411,车辆,道路 运输 车辆,交通 运输
36424,车辆,道路 运输 车辆,交通 运输
36408,车辆,道路 运输 车辆,交通 运输
36405,车辆,客运,交通 运输
36406,车辆,道路 运输 车辆,交通 运输
36407,车辆,道路 运输 车辆,交通 运输
36442,建筑 垃圾 设置,中医院 工程 沟棠路,城市 管理
36447,准予 易地 建设 防空 地下室 行政,经济 开发区 综合 中心 项目,行政 审批
36457,车辆,道路 运输 车辆,交通 运输
36441,市政 设施 建设 城市道路 桥梁,镜泊 大道 井盖 光缆,城市 管理
36425,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36426,交通 行政,码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36440,云栾 图书店,图书 期刊 零售,新闻 出版
36386,交通 行政,化工 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
36387,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36388,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36385,交通 行政,中国石化集团 金陵 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36382,车辆,更新,交通 运输
36383,车辆,更新,交通 运输
36384,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36402,车辆,网络 出租车,交通 运输
36403,车辆,网络 出租车,交通 运输
36404,车辆,道路 运输 车辆,交通 运输
36401,车辆,网络 出租车,交通 运输
36389,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36390,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36400,车辆,道路 运输 车辆,交通 运输
36636,车辆,道路 运输 车辆,交通 运输
36637,车辆,道路 运输 车辆,交通 运输
36649,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36635,车辆,道路 运输 车辆,交通 运输
36632,车辆,道路 运输 车辆,交通 运输
36633,车辆,道路 运输 车辆,交通 运输
36634,业户,道路 业户 经营,交通 运输
36656,车辆,道路 运输 车辆,交通 运输
36657,车辆,道路 运输 车辆,交通 运输
36658,车辆,道路 运输 车辆,交通 运输
36653,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36650,交通 行政,阳鸿 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36651,交通 行政,化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36652,交通 行政,扬子 巴斯夫 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36620,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36621,交通 行政,新荣泰 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36622,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36462,准予,水务 准予 文体 景观带 水土保持 工程 建设 方案 行政 人民政府 文体 景观带 水土保持 工程 建设 方案 本局 水务 审查 法定条件 标准 行政 防洪法 河道 管理条例 行政 建设 方案 具体内容 附件 方案 施工 工程 水利工程 管理处 水务局 办理 施工 方案 备案 水利工程 管理处 水务局 施工 项目 界限 方可 建设 工程施工 过程 河道 泥浆 泥土 碎渣 施工 垃圾 工程施工 水利 设施 建设 设计标准 费用 工程 监督 管理 水利工程 管理处 水务局 防汛 防汛 指挥机构 工程 建设 委托 资质 测量 工程 界限 资料 水利工程 管理处 水务局 专项 水利工程 管理处 水务局 工程 设施 河道 堤防 工程 补偿费 河道 堤防 工程 补偿费 暂行办法 工程 建设 过程 建设 方案 变更 办理 建设 方案 项目 管理 部门 办理 水务局 水务局 水利工程 管理处 水政 监察 支队 水务局 印发,水务
36458,准予,建设 集团 树木 审查 法定条件 标准 行政 准予 行政,园林
36459,准予,综合 行政 大队 树木 审查 法定条件 标准 行政 准予 行政,园林
36460,准予,水务 准予 悦丰 小学 雨水 排口 工程 建设 方案 行政 建筑 工务 悦丰 小学 雨水 排口 工程 建设 方案 本局 水务 审查 法定条件 标准 行政 防洪法 河道 管理条例 行政 建设 方案 具体内容 附件 方案 施工 工程 水务局 办理 施工 方案 备案 水务局 施工 项目 界限 方可 建设 工程施工 过程 河道 泥浆 泥土 碎渣 施工 垃圾 工程施工 水利 设施 建设 设计标准 费用 工程 监督 管理 水务局 防汛 防汛 指挥机构 工程 建设 委托 资质 测量 工程 界限 资料 水务局 专项 水务局 工程 设施 河道 堤防 工程 补偿费 河道 堤防 工程 补偿费 暂行办法 建设 建设 工程 建设 过程 建设 方案 变更 办理 建设 方案 项目 管理 部门 办理 水务局 水务局 水政 监察 支队 水务局 印发,水务
36629,车辆,道路 运输 车辆,交通 运输
36630,车辆,道路 运输 车辆,交通 运输
36631,车辆,道路 运输 车辆,交通 运输
36626,交通 行政,燃油 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36623,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36624,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36625,交通 行政,港务 集团 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36155,车辆,道路 运输 车辆,交通 运输
36156,车辆,道路 运输 车辆,交通 运输
36160,交通 行政,敦合 商贸 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36152,车辆,道路 运输 车辆,交通 运输
36153,车辆,道路 运输 车辆,交通 运输
36154,车辆,道路 运输 车辆,交通 运输
36161,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36172,交通 行政,阳鸿 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36173,交通 行政,港龙 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36174,交通 行政,恒阳 化工 储运 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
36163,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36170,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36171,交通 行政,开发区 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35988,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35989,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36137,车辆,道路 运输 车辆,交通 运输
35985,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35986,交通 行政,交通 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35987,交通 行政,危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
36142,车辆,道路 运输 车辆,交通 运输
36149,车辆,道路 运输 车辆,交通 运输
36150,车辆,道路 运输 车辆,交通 运输
